,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,open_issue_count,show,projectrank_placing,trending,updated_github_id
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2022-02-17 15:14:36,2022-02-11 23:20:20,208,26.0,814.0,234,101,21.0,6251,2022-02-11 23:19:05,2022.02.10,39,A ranked list of awesome machine learning Python libraries. Updated weekly.,21.0,21,5.0,True,1,1.0,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2022-02-17 13:35:20,2022-02-10 15:21:54,118,30.0,140.0,68,69,4.0,1990,2022-02-10 15:21:27,2022.02.10,35,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,6.0,16,,True,1,,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2022-02-17 16:34:51,2022-02-10 21:30:10,114,28.0,95.0,49,72,2.0,1433,2022-02-10 21:30:25,2022.02.10,33,A ranked list of awesome python libraries for web development. Updated weekly.,8.0,15,4.0,True,1,,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2022-02-17 14:41:31,2022-02-11 23:18:02,97,26.0,21.0,17,66,5.0,412,2022-02-10 15:21:02,2022.02.10,31,A ranked list of awesome python developer tools and libraries. Updated weekly.,2.0,13,1.0,True,1,1.0,
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2022-02-17 14:46:23,2022-02-10 15:20:28,110,29.0,42.0,17,73,2.0,393,2022-02-10 15:20:10,2022.02.10,38,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",8.0,13,6.0,True,2,,
5,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2022-01-04 15:29:32,2021-05-03 18:03:14,111,,42.0,12,48,4.0,357,2021-05-03 17:59:01,2021.05.03-17.47,8,A ranked gallery of awesome streamlit apps built by the community.,4.0,12,14.0,True,3,,
6,best-of-ml-rust,e-tony/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2022-02-14 12:33:46,2022-01-24 19:09:18,130,11.0,1.0,9,56,,81,2021-10-04 12:57:04,2021.10.04,23,A ranked list of awesome machine learning Rust libraries.,2.0,10,,True,3,,e-tornike/best-of-ml-rust
7,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2022-02-17 15:32:38,2022-02-14 15:13:40,139,62.0,2.0,2,61,,39,2022-02-11 23:17:00,2022.02.10,30,A ranked list of awesome React open-source libraries and tools. Updated weekly.,2.0,10,1.0,True,3,,
8,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2022-02-16 19:37:24,2022-02-10 15:25:07,41,41.0,1.0,1,12,,7,2022-02-10 15:25:14,2022.02.09,4,A ranked list of awesome open-source crypto projects. Updated weekly.,,8,,True,1,,
9,best-of-ml-julia,e-tony/best-of-ml-julia,,data-engineering,https://github.com/e-tornike/best-of-ml-julia,https://github.com/e-tornike/best-of-ml-julia,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-11-15 12:28:02,2021-09-16 07:59:38,44,,,2,38,,5,2021-05-10 14:35:56,2021.05.10,3,A ranked list of awesome machine learning Julia libraries.,2.0,5,,True,3,-1.0,e-tornike/best-of-ml-julia
