,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,open_issue_count,new_addition
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2022-05-05 16:14:42,2022-05-05 16:14:41,247,43.0,1355.0,303,124,26.0,9238,2022-05-05 16:15:00,2022.05.05,44.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,28.0,24,True,1,2.0,,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2022-05-05 16:15:39,2022-05-05 16:15:38,134,18.0,154.0,71,82,4.0,2143,2022-05-05 16:15:53,2022.05.05,40.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,7.0,17,True,1,,,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2022-05-05 18:19:06,2022-05-05 18:19:05,124,13.0,115.0,48,83,2.0,1516,2022-05-05 18:19:11,2022.05.05,38.0,A ranked list of awesome python libraries for web development. Updated weekly.,8.0,15,True,1,,4.0,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2022-05-05 16:16:11,2022-05-05 16:16:10,120,25.0,28.0,17,81,5.0,474,2022-05-05 16:16:34,2022.05.05,36.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,4.0,14,True,1,,1.0,
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2022-05-05 16:16:53,2022-05-05 16:16:52,122,14.0,44.0,16,84,2.0,429,2022-05-05 16:17:06,2022.05.05,43.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",9.0,13,True,2,,6.0,
5,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2022-05-05 16:17:24,2022-05-05 16:17:23,155,20.0,10.0,3,71,,70,2022-05-05 16:17:34,2022.05.05,38.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,2.0,12,True,3,,1.0,
6,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2022-01-04 15:29:32,2021-05-03 18:03:14,111,,44.0,12,48,4.0,399,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4.0,11,True,3,,14.0,
7,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22,2022-05-05 18:13:09,2022-05-05 18:13:09,57,57.0,,1,16,,14,2022-05-05 18:13:25,2022.05.05,8.0,A ranked list of awesome MkDocs projects and plugins.,,9,True,1,,,
8,best-of-ml-rust,e-tornike/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2022-05-02 12:48:00,2022-01-24 19:09:18,130,,1.0,9,67,,86,2021-10-04 12:57:04,2021.10.04,23.0,A ranked list of awesome machine learning Rust libraries.,2.0,8,True,3,,,
9,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2022-05-05 18:21:30,2022-05-05 18:21:29,87,87.0,4.0,1,13,1.0,26,,,,Ranked list of awesome digital gardens / second brains.,5.0,8,True,3,,,
10,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2022-05-04 20:41:16,2022-05-04 20:41:14,61,22.0,4.0,2,24,,18,2022-05-04 20:41:21,2022.05.04,13.0,A ranked list of awesome open-source crypto projects. Updated weekly.,2.0,8,True,1,-1.0,,
11,thumbor/awesome-thumbor,thumbor/awesome-thumbor,,others,https://github.com/thumbor/awesome-thumbor,https://github.com/thumbor/awesome-thumbor,CC-BY-SA-4.0,2022-01-23 23:37:02,2022-05-04 20:22:57,2022-05-03 21:08:56,46,21.0,2.0,4,113,,7,2022-01-23 23:40:03,2022.01.23,1.0,"Everything thumbor, awesomely curated & updated weekly.",3.0,8,True,1,,,True
