,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,open_issue_count,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2022-07-07 15:33:11,2022-07-07 15:33:10,280,70.0,1619.0,333,140,29.0,10918,2022-07-07 15:33:15,2022.07.07,54.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,32.0,24,True,1,,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2022-07-07 14:05:41,2022-07-07 14:05:41,160,38.0,163.0,74,94,4.0,2268,2022-07-07 14:05:47,2022.07.07,49.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,9.0,18,True,1,1.0,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2022-07-07 16:51:25,2022-07-07 16:51:25,141,25.0,118.0,47,92,2.0,1574,2022-07-07 16:51:30,2022.07.07,46.0,A ranked list of awesome python libraries for web development. Updated weekly.,8.0,15,True,1,4.0,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2022-07-07 14:49:50,2022-07-07 14:49:49,139,37.0,29.0,18,90,5.0,513,2022-07-07 14:49:54,2022.07.07,45.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,4.0,14,True,1,1.0,
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2022-07-07 15:33:24,2022-07-07 15:33:23,141,28.0,46.0,17,93,2.0,468,2022-07-07 15:33:29,2022.07.07,52.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",9.0,13,True,2,6.0,
5,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2022-07-07 16:07:21,2022-07-07 16:07:20,173,26.0,15.0,4,80,,94,2022-07-07 16:07:27,2022.07.07,47.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,2.0,12,True,3,,
6,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2022-01-04 15:29:32,2021-05-03 18:03:14,111,,51.0,12,48,4.0,428,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4.0,11,False,3,14.0,
7,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2022-07-06 22:35:55,2022-07-06 22:35:54,77,26.0,8.0,4,33,,35,2022-07-06 22:36:05,2022.07.06,21.0,A ranked list of awesome open-source crypto projects. Updated weekly.,2.0,11,True,1,,1.0
8,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22,2022-07-07 18:06:57,2022-06-30 18:12:10,94,94.0,,1,29,,27,2022-07-01 18:50:29,2022.06.30,15.0,A ranked list of awesome MkDocs projects and plugins.,,10,True,1,,
9,best-of-ml-rust,e-tornike/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2022-07-04 12:44:56,2022-01-24 19:09:18,130,,1.0,9,76,,89,2021-10-04 12:57:04,2021.10.04,23.0,A ranked list of awesome machine learning Rust libraries.,2.0,8,True,3,,
10,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2022-07-06 18:40:38,2022-07-06 18:40:37,145,145.0,5.0,2,15,1.0,55,,,,Ranked list of awesome digital gardens / second brains.,7.0,8,True,3,,
