,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2022-07-21 15:58:34,2022-07-14 15:36:57,282,69.0,1709.0,335,144,2.0,29.0,11148,2022-07-14 15:37:02,2022.07.14,55.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,32.0,24,True,1,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2022-07-21 14:08:50,2022-07-14 14:11:03,162,36.0,172.0,74,96,1.0,4.0,2304,2022-07-14 14:11:09,2022.07.14,50.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,9.0,18,True,1,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2022-07-21 17:00:41,2022-07-21 17:00:41,145,26.0,120.0,47,94,4.0,2.0,1590,2022-07-21 17:00:46,2022.07.21,48.0,A ranked list of awesome python libraries for web development. Updated weekly.,8.0,15,True,1,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2022-07-21 14:49:34,2022-07-14 15:56:31,141,29.0,29.0,18,92,1.0,5.0,525,2022-07-14 15:56:38,2022.07.14,46.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,4.0,14,True,1,
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2022-07-21 14:46:51,2022-07-14 15:56:56,143,26.0,46.0,17,95,6.0,2.0,479,2022-07-14 15:57:03,2022.07.14,53.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",9.0,13,True,2,
5,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2022-07-21 17:00:22,2022-07-21 17:00:21,177,27.0,16.0,4,82,,,106,2022-07-21 17:00:26,2022.07.21,49.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,2.0,12,True,3,
6,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2022-07-20 21:32:21,2022-07-20 21:32:21,80,26.0,8.0,5,35,,,39,2022-07-20 21:32:35,2022.07.20,23.0,A ranked list of awesome open-source crypto projects. Updated weekly.,3.0,12,True,1,1.0
7,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2022-01-04 15:29:32,2021-05-03 18:03:14,111,,52.0,12,48,6.0,4.0,435,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4.0,11,False,3,
8,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22,2022-07-21 18:10:38,2022-07-14 21:23:15,98,45.0,,2,31,,,28,2022-07-14 21:23:22,2022.07.14,17.0,A ranked list of awesome MkDocs projects and plugins.,,10,True,1,
9,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2022-07-21 18:33:32,2022-07-21 18:33:31,163,86.0,6.0,2,16,,1.0,57,,,,Ranked list of awesome digital gardens / second brains.,8.0,9,True,3,
10,thumbor/awesome-thumbor,thumbor/awesome-thumbor,,others,https://github.com/thumbor/awesome-thumbor,https://github.com/thumbor/awesome-thumbor,CC-BY-SA-4.0,2022-01-23 23:37:02,2022-07-20 20:24:42,2022-07-18 21:56:32,96,53.0,3.0,2,192,,,11,2022-01-23 23:40:03,2022.01.23,1.0,"Everything thumbor, awesomely curated & updated weekly.",4.0,9,True,1,
11,best-of-ml-rust,e-tornike/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2022-07-18 12:49:40,2022-01-24 19:09:18,130,,1.0,9,78,,,89,2021-10-04 12:57:04,2021.10.04,23.0,A ranked list of awesome machine learning Rust libraries.,2.0,8,True,3,
12,best-of-ml-julia,e-tornike/best-of-ml-julia,,data-engineering,https://github.com/e-tornike/best-of-ml-julia,https://github.com/e-tornike/best-of-ml-julia,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-11-15 12:28:02,2021-09-16 07:59:38,44,,1.0,2,38,,,7,2021-05-10 14:35:56,2021.05.10,3.0,A ranked list of awesome machine learning Julia libraries.,2.0,5,True,3,
