,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2023-04-27 15:48:40,2023-04-27 15:48:39,371,28.0,2000.0,373,190,15.0,31.0,13526,2023-04-27 15:48:45,2023.04.27,95.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,36.0,23,True,1
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2023-04-27 14:19:59,2023-04-27 14:19:59,241,28.0,209.0,83,139,4.0,4.0,2958,2023-04-27 14:20:05,2023.04.27,88.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,10.0,18,True,1
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2023-04-27 16:24:15,2023-04-20 22:47:17,223,26.0,143.0,51,138,1.0,2.0,1872,2023-04-20 22:47:23,2023.04.20,86.0,A ranked list of awesome python libraries for web development. Updated weekly.,10.0,16,True,1
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2023-04-27 15:48:30,2023-04-27 15:48:28,223,28.0,38.0,22,135,1.0,5.0,713,2023-04-27 15:48:34,2023.04.27,86.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,6.0,16,True,1
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2023-04-27 15:48:21,2023-04-27 15:48:20,224,27.0,62.0,22,137,1.0,2.0,648,2023-04-27 15:48:25,2023.04.27,92.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",11.0,15,True,2
5,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2023-04-27 15:48:50,2023-04-27 15:48:49,259,27.0,35.0,8,125,1.0,,420,2023-04-27 15:48:54,2023.04.27,88.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,5.0,15,True,2
6,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22,2023-04-27 18:07:35,2023-04-20 21:23:23,151,12.0,8.0,7,73,1.0,2.0,208,2023-04-13 22:20:28,2023.04.13,56.0,A ranked list of awesome MkDocs projects and plugins.,4.0,13,True,1
7,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2023-04-26 23:30:00,2023-04-26 23:29:59,174,33.0,20.0,9,81,5.0,,109,2023-04-26 20:35:46,2023.04.26,61.0,A ranked list of awesome open-source crypto projects. Updated weekly.,4.0,13,True,1
8,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2023-04-24 12:05:05,2021-05-03 18:03:14,111,,86.0,13,82,56.0,4.0,613,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4.0,12,False,3
9,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2023-04-26 18:25:10,2023-04-26 18:25:09,465,94.0,13.0,3,22,,2.0,157,,,,Ranked list of awesome digital gardens / second brains.,14.0,12,True,3
10,thumbor/awesome-thumbor,thumbor/awesome-thumbor,,others,https://github.com/thumbor/awesome-thumbor,https://github.com/thumbor/awesome-thumbor,CC-BY-SA-4.0,2022-01-23 23:37:02,2023-04-26 20:15:07,2023-04-21 20:16:02,372,84.0,3.0,3,471,2.0,,29,2022-01-23 23:40:03,2022.01.23,1.0,"Everything thumbor, awesomely curated & updated weekly.",4.0,12,True,1
11,best-of-ml-rust,e-tornike/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2023-04-21 10:43:13,2023-04-21 10:43:13,147,14.0,3.0,7,102,57.0,,142,2023-03-01 09:31:46,2023.03.01,24.0,A ranked list of awesome machine learning Rust libraries.,2.0,11,True,3
12,best-of-ps,jinningwang/best-of-ps,,others,https://github.com/jinningwang/best-of-ps,https://github.com/jinningwang/best-of-ps,CC-BY-SA-4.0,2022-11-29 16:56:33,2023-04-27 18:22:37,2023-03-21 21:59:04,139,31.0,5.0,3,59,2.0,3.0,38,2023-04-21 16:03:29,2023.04.20,21.0,A weekly updated ranked list of popular open-source libraries and tools for Power System Analysis.,4.0,11,True,3
13,best-of-django,fkromer/best-of-django,['python'],web-dev,https://github.com/fkromer/best-of-django,https://github.com/fkromer/best-of-django,CC-BY-SA-4.0,2022-10-04 19:22:03,2023-04-01 16:31:21,2023-04-01 16:31:20,133,10.0,1.0,1,29,,,7,,,,A ranked list of awesome Django related Python packages.,,7,True,3
14,best-of-scala,stkeky/best-of-scala,,programming-languages,https://github.com/stkeky/best-of-scala,https://github.com/stkeky/best-of-scala,CC-BY-SA-4.0,2023-03-13 21:28:43,2023-04-21 13:47:47,2023-04-21 13:47:43,40,40.0,,1,21,,,3,2023-03-13 22:58:09,2023.03.13-22.32,1.0,A ranked list of awesome Scala libraries. Updated weekly.,2.0,6,True,3
15,best-of-vue,fkromer/best-of-vue,['javascript'],web-dev,https://github.com/fkromer/best-of-vue,https://github.com/fkromer/best-of-vue,CC-BY-SA-4.0,2022-12-03 16:39:34,2023-04-27 18:14:14,2023-04-27 18:14:14,76,16.0,,3,37,,,13,,,,,2.0,5,False,3
