,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,updated_github_id,trending,new_addition
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2023-05-04 14:39:48,2023-04-27 15:48:39,371,24.0,2000.0,374,191,15.0,31.0,13564.0,2023-04-27 15:48:45,2023.04.27,95.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,36.0,23,True,1,,,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2023-05-04 13:33:07,2023-05-04 13:33:07,243,27.0,209.0,83,140,4.0,4.0,2964.0,2023-05-04 13:33:12,2023.05.04,89.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,10.0,18,True,1,,,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2023-05-04 16:32:02,2023-04-28 20:05:14,225,25.0,143.0,51,139,1.0,2.0,1880.0,2023-04-28 20:05:23,2023.04.27,87.0,A ranked list of awesome python libraries for web development. Updated weekly.,10.0,16,True,1,,,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2023-05-04 14:21:13,2023-04-27 15:48:28,223,25.0,38.0,22,136,1.0,5.0,717.0,2023-04-27 15:48:34,2023.04.27,86.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,6.0,16,True,1,,,
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2023-05-04 14:21:38,2023-04-27 15:48:20,224,24.0,62.0,22,138,1.0,2.0,652.0,2023-04-27 15:48:25,2023.04.27,92.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",11.0,15,True,2,,,
5,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2023-05-04 15:22:41,2023-04-27 15:48:49,259,24.0,36.0,8,126,1.0,,423.0,2023-04-27 15:48:54,2023.04.27,88.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,5.0,15,True,2,,,
6,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/mkdocs/best-of-mkdocs,https://github.com/mkdocs/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22,2023-05-04 18:08:12,2023-05-04 10:50:15,160,20.0,9.0,7,79,1.0,2.0,216.0,2023-04-27 19:15:26,2023.04.27,58.0,A ranked list of awesome MkDocs projects and plugins.,5.0,13,True,1,mkdocs/best-of-mkdocs,,
7,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2023-05-03 21:08:49,2023-05-03 21:08:49,176,32.0,20.0,10,82,5.0,,115.0,2023-05-03 21:08:55,2023.05.03,62.0,A ranked list of awesome open-source crypto projects. Updated weekly.,4.0,13,True,1,,,
8,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2023-05-01 12:06:11,2021-05-03 18:03:14,111,,86.0,13,83,56.0,4.0,623.0,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4.0,12,False,3,,,
9,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2023-05-04 18:24:00,2023-05-04 18:24:00,473,95.0,13.0,3,22,,2.0,158.0,,,,Ranked list of awesome digital gardens / second brains.,14.0,12,True,3,,,
10,best-of-ml-rust,e-tornike/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2023-05-01 15:29:24,2023-05-01 15:29:24,149,16.0,3.0,8,103,57.0,,143.0,2023-05-01 15:29:45,2023.05.01,25.0,A ranked list of awesome machine learning Rust libraries.,2.0,12,True,3,,1.0,
11,best-of-ps,jinningwang/best-of-ps,,others,https://github.com/jinningwang/best-of-ps,https://github.com/jinningwang/best-of-ps,CC-BY-SA-4.0,2022-11-29 16:56:33,2023-05-04 18:23:47,2023-03-21 21:59:04,139,29.0,5.0,3,59,2.0,3.0,39.0,2023-04-27 21:02:29,2023.04.27,22.0,A weekly updated ranked list of popular open-source libraries and tools for Power System Analysis.,4.0,12,True,1,,1.0,
12,thumbor/awesome-thumbor,thumbor/awesome-thumbor,,others,https://github.com/thumbor/awesome-thumbor,https://github.com/thumbor/awesome-thumbor,CC-BY-SA-4.0,2022-01-23 23:37:02,2023-05-03 20:20:52,2023-05-03 20:15:34,384,89.0,3.0,3,478,2.0,,29.0,2022-01-23 23:40:03,2022.01.23,1.0,"Everything thumbor, awesomely curated & updated weekly.",4.0,12,True,1,,,
13,best-of-fastapi,fkromer/best-of-fastapi,['python'],web-dev,https://github.com/fkromer/best-of-fastapi,https://github.com/fkromer/best-of-fastapi,CC-BY-SA-4.0,2022-11-27 14:22:10,2023-05-04 18:06:39,2023-04-27 18:14:23,53,12.0,,1,30,,,7.0,,,,List of automatically rated Python packages for FastAPI.,2.0,6,True,3,,1.0,
14,best-of-django,fkromer/best-of-django,['python'],web-dev,https://github.com/fkromer/best-of-django,https://github.com/fkromer/best-of-django,CC-BY-SA-4.0,2022-10-04 19:22:03,2023-05-01 17:59:52,2023-05-01 17:59:51,135,6.0,1.0,1,30,,,7.0,,,,A ranked list of awesome Django related Python packages.,,6,True,3,,-1.0,
15,best-of-scala,stkeky/best-of-scala,,programming-languages,https://github.com/stkeky/best-of-scala,https://github.com/stkeky/best-of-scala,CC-BY-SA-4.0,2023-03-13 21:28:43,2023-05-04 18:22:25,2023-04-28 09:11:33,41,41.0,,1,23,,,3.0,2023-03-13 22:58:09,2023.03.13-22.32,1.0,A ranked list of awesome Scala libraries. Updated weekly.,2.0,6,True,3,,,
16,best-of-vue,fkromer/best-of-vue,['javascript'],web-dev,https://github.com/fkromer/best-of-vue,https://github.com/fkromer/best-of-vue,CC-BY-SA-4.0,2022-12-03 16:39:34,2023-05-04 18:08:35,2023-04-27 18:14:14,76,12.0,,3,38,,,13.0,,,,,2.0,5,False,3,,,
