,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id,new_addition
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2025-05-01 15:10:03,2025-04-29 18:41:42,570,27.0,2681.0,432,311,27.0,34.0,19990.0,2025-04-24 18:01:03,2025.04.24,100.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,53,23,True,1,,,
1,best-of-mkdocs,mkdocs/catalog,,documentation,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22,2025-05-01 18:32:21,2025-04-24 21:09:18,379,19.0,84.0,14,286,2.0,31.0,1334.0,2023-06-29 18:48:34,2023.06.29,68.0,A list of awesome MkDocs projects and plugins.,53,17,True,1,2.0,,
2,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2025-05-01 14:35:13,2025-04-24 18:00:39,397,24.0,79.0,23,229,2.0,4.0,1055.0,2025-04-24 18:00:48,2025.04.24,100.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",13,16,True,2,,,
3,best-of-ps,jinningwang/best-of-ps,,others,https://github.com/ps-wiki/best-of-ps,https://github.com/ps-wiki/best-of-ps,CC-BY-SA-4.0,2022-11-29 16:56:33,2025-05-01 18:33:41,2025-04-24 19:08:24,466,65.0,31.0,5,145,2.0,8.0,203.0,2025-04-24 19:08:45,2025.04.24,77.0,A weekly updated ranked list of popular open-source libraries and tools for Power System Analysis.,7,16,True,1,2.0,ps-wiki/best-of-ps,
4,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2025-03-11 09:47:21,2025-03-11 09:47:21,361,1.0,270.0,97,200,7.0,6.0,3950.0,2024-06-06 14:07:12,2024.06.06,100.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,13,15,True,1,-3.0,,
5,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2024-06-07 15:14:35,2024-06-06 19:06:33,346,,186.0,57,205,,3.0,2502.0,2024-06-06 19:06:38,2024.06.06,100.0,A ranked list of awesome python libraries for web development. Updated weekly.,16,15,True,1,-3.0,,
6,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2025-04-30 18:36:35,2025-04-30 18:36:34,1230,105.0,26.0,6,35,,2.0,425.0,,,,Ranked list of awesome digital gardens / second brains.,21,15,True,3,3.0,,
7,best-of-scala,stkeky/best-of-scala,,programming-languages,https://github.com/stkeky/best-of-scala,https://github.com/stkeky/best-of-scala,CC-BY-SA-4.0,2023-03-13 21:28:43,2025-05-01 18:29:57,2025-04-25 19:14:00,170,12.0,24.0,11,152,3.0,9.0,262.0,2025-04-25 19:14:16,2025.04.24,86.0,A ranked list of awesome Scala projects. Updated weekly.,18,15,True,1,,,
8,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2024-06-06 14:43:04,2024-05-30 14:52:56,337,,53.0,23,195,5.0,5.0,1119.0,2024-05-30 14:53:03,2024.05.30,100.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,7,14,True,1,-2.0,,
9,awesome-gpts,taranjeet/awesome-gpts,['python'],data-engineering,https://github.com/taranjeet/awesome-gpts,https://github.com/taranjeet/awesome-gpts,MIT,2023-11-10 15:58:26,2024-04-21 19:47:16,2023-12-06 16:57:28,131,,88.0,18,48,3.0,43.0,1303.0,,,,Collection of all the GPTs created by the community.,28,13,False,2,,,
10,thumbor/awesome-thumbor,thumbor/awesome-thumbor,,others,https://github.com/thumbor/awesome-thumbor,https://github.com/thumbor/awesome-thumbor,CC-BY-SA-4.0,2022-01-23 23:37:02,2025-04-30 20:22:19,2025-04-29 20:23:10,1107,86.0,4.0,6,1200,2.0,,64.0,2022-01-23 23:40:03,2022.01.23,1.0,"Everything thumbor, awesomely curated & updated weekly.",5,13,True,3,,,
