,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,updated_github_id,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2025-05-15 15:15:14,2025-05-15 15:15:12,574,26.0,2688.0,432,313,27.0,34.0,20052,2025-05-15 15:15:18,2025.05.15,100.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,53,23,True,1,,
1,best-of-mkdocs,mkdocs/catalog,,documentation,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22,2025-05-15 18:31:38,2025-05-13 17:32:14,383,21.0,88.0,14,290,2.0,31.0,1353,2023-06-29 18:48:34,2023.06.29,68.0,A list of awesome MkDocs projects and plugins.,55,17,True,1,,
2,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2025-05-15 14:44:20,2025-05-15 14:44:18,403,26.0,79.0,23,231,2.0,4.0,1065,2025-05-15 14:44:24,2025.05.15,100.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",13,16,True,2,,
3,best-of-ps,jinningwang/best-of-ps,,others,https://github.com/ps-wiki/best-of-ps,https://github.com/ps-wiki/best-of-ps,CC-BY-SA-4.0,2022-11-29 16:56:33,2025-05-15 18:35:05,2025-05-09 01:16:03,478,68.0,31.0,5,147,2.0,8.0,203,2025-05-08 18:58:14,2025.05.08,79.0,A weekly updated ranked list of popular open-source libraries and tools for Power System Analysis.,7,16,True,1,ps-wiki/best-of-ps,
4,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2025-03-11 09:47:21,2025-03-11 09:47:21,361,1.0,270.0,97,200,7.0,6.0,3965,2024-06-06 14:07:12,2024.06.06,100.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,13,15,True,1,,
5,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2024-06-07 15:14:35,2024-06-06 19:06:33,346,,186.0,57,205,,3.0,2509,2024-06-06 19:06:38,2024.06.06,100.0,A ranked list of awesome python libraries for web development. Updated weekly.,16,15,True,1,,
6,best-of-robot-simulators,knmcguire/best-of-robot-simulators,,robot-dev,https://github.com/knmcguire/best-of-robot-simulators,https://github.com/knmcguire/best-of-robot-simulators,CC-BY-SA-4.0,2025-04-09 08:06:08,2025-05-15 08:42:56,2025-05-15 08:42:53,128,128.0,40.0,10,46,24.0,56.0,593,2025-05-15 08:43:35,2025.05.14,6.0,"A Best-of-list of Robot Simulators, re-generated weekly on Wednesdays.",8,15,True,1,,
7,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2025-05-14 18:35:38,2025-05-14 18:35:37,1244,105.0,26.0,6,35,,2.0,428,,,,Ranked list of awesome digital gardens / second brains.,21,15,True,3,,
8,best-of-scala,stkeky/best-of-scala,,programming-languages,https://github.com/stkeky/best-of-scala,https://github.com/stkeky/best-of-scala,CC-BY-SA-4.0,2023-03-13 21:28:43,2025-05-15 18:31:02,2025-05-09 10:30:10,172,13.0,24.0,11,154,3.0,9.0,267,2025-05-09 10:30:25,2025.05.08,88.0,A ranked list of awesome Scala projects. Updated weekly.,18,15,True,1,,
9,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2024-06-06 14:43:04,2024-05-30 14:52:56,337,,53.0,23,195,5.0,5.0,1126,2024-05-30 14:53:03,2024.05.30,100.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,7,14,True,1,,
10,awesome-gpts,taranjeet/awesome-gpts,['python'],data-engineering,https://github.com/taranjeet/awesome-gpts,https://github.com/taranjeet/awesome-gpts,MIT,2023-11-10 15:58:26,2024-04-21 19:47:16,2023-12-06 16:57:28,131,,89.0,18,48,3.0,43.0,1307,,,,Collection of all the GPTs created by the community.,28,13,False,2,,
11,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/lukasmasuch/best-of-crypto,https://github.com/lukasmasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2024-07-12 09:36:46,2024-06-05 20:02:12,282,,76.0,22,141,11.0,,426,2024-06-05 20:02:18,2024.06.05,100.0,A ranked list of awesome open-source crypto projects. Updated weekly.,5,13,True,1,,1.0
12,thumbor/awesome-thumbor,thumbor/awesome-thumbor,,others,https://github.com/thumbor/awesome-thumbor,https://github.com/thumbor/awesome-thumbor,CC-BY-SA-4.0,2022-01-23 23:37:02,2025-05-14 20:19:32,2025-05-12 20:22:38,1120,85.0,4.0,6,1214,2.0,,65,2022-01-23 23:40:03,2022.01.23,1.0,"Everything thumbor, awesomely curated & updated weekly.",5,13,True,3,,
13,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2024-06-28 01:43:05,2021-05-03 18:03:14,111,,142.0,19,128,110.0,4.0,1273,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,12,False,3,,
