,name,github_id,labels,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,new_addition
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/lukasmasuch/best-of-ml-python,https://github.com/lukasmasuch/best-of-ml-python,lukasmasuch/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2025-08-28 15:54:43,2025-08-28 15:54:41,605,27.0,2837.0,439.0,329.0,27.0,34.0,21815.0,2025-08-28 15:54:56,2025.08.28,100.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,54,23,True,1,,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/lukasmasuch/best-of-python,https://github.com/lukasmasuch/best-of-python,lukasmasuch/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2025-08-28 14:21:44,2025-08-28 14:21:44,377,16.0,273.0,98.0,209.0,8.0,6.0,4110.0,2025-08-28 14:21:51,2025.08.28,100.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,14,18,True,1,,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,,CC-BY-SA-4.0,2021-01-05 13:09:27,2025-08-28 17:06:20,2025-08-28 17:06:18,361,15.0,187.0,57.0,212.0,1.0,3.0,2582.0,2025-08-28 17:06:25,2025.08.28,100.0,A ranked list of awesome python libraries for web development. Updated weekly.,16,18,True,1,,
3,best-of-mkdocs,mkdocs/catalog,,documentation,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,,CC-BY-SA-4.0,2022-04-17 07:48:22,2025-08-28 18:32:21,2025-08-21 19:51:42,406,17.0,100.0,16.0,313.0,2.0,33.0,1484.0,2023-06-29 18:48:34,2023.06.29,68.0,A list of awesome MkDocs projects and plugins.,61,17,True,1,,
4,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,,CC-BY-SA-4.0,2021-01-08 14:46:24,2025-08-28 15:00:52,2025-08-28 15:00:50,352,15.0,53.0,23.0,202.0,5.0,5.0,1167.0,2025-08-28 15:01:00,2025.08.28,100.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,7,17,True,1,,
5,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,,CC-BY-SA-4.0,2021-01-01 22:25:48,2025-08-28 15:00:43,2025-08-28 15:00:41,431,24.0,85.0,24.0,246.0,2.0,4.0,1124.0,2025-08-28 15:00:47,2025.08.28,100.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",13,17,True,2,,
6,best-of-robot-simulators,knmcguire/best-of-robot-simulators,,robot-dev,https://github.com/knmcguire/best-of-robot-simulators,https://github.com/knmcguire/best-of-robot-simulators,,CC-BY-SA-4.0,2025-04-09 08:06:08,2025-08-27 10:22:06,2025-08-20 14:36:38,155,18.0,51.0,13.0,73.0,19.0,111.0,869.0,2025-08-20 14:37:41,2025.08.20,20.0,"A Best-of-list of Robot Simulators, re-generated weekly on Wednesdays.",8,15,True,1,,
7,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,,CC-BY-SA-4.0,2022-04-21 16:32:43,2025-08-27 18:35:36,2025-08-27 18:35:35,1349,89.0,25.0,6.0,35.0,,2.0,453.0,,,,Ranked list of awesome digital gardens / second brains.,21,15,True,3,,
8,best-of-scala,stkeky/best-of-scala,,programming-languages,https://github.com/stkeky/best-of-scala,https://github.com/stkeky/best-of-scala,,CC-BY-SA-4.0,2023-03-13 21:28:43,2025-08-28 18:31:01,2025-08-23 19:26:48,185,11.0,25.0,11.0,169.0,4.0,9.0,280.0,2025-08-23 19:27:00,2025.08.21,100.0,A ranked list of awesome Scala projects. Updated weekly.,18,15,True,3,,
9,awesome-gpts,taranjeet/awesome-gpts,['python'],data-engineering,https://github.com/taranjeet/awesome-gpts,https://github.com/taranjeet/awesome-gpts,,MIT,2023-11-10 15:58:26,2024-04-21 19:47:16,2023-12-06 16:57:28,131,,90.0,17.0,48.0,3.0,43.0,1318.0,,,,Collection of all the GPTs created by the community.,28,13,False,2,,
10,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,,CC-BY-SA-4.0,2021-01-09 00:40:46,2024-06-28 01:43:05,2021-05-03 18:03:14,111,,150.0,20.0,128.0,110.0,4.0,1303.0,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,13,False,2,,
11,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/lukasmasuch/best-of-crypto,https://github.com/lukasmasuch/best-of-crypto,,CC-BY-SA-4.0,2022-01-08 21:25:33,2024-07-12 09:36:46,2024-06-05 20:02:12,282,,81.0,23.0,141.0,11.0,,471.0,2024-06-05 20:02:18,2024.06.05,100.0,A ranked list of awesome open-source crypto projects. Updated weekly.,5,13,False,1,,
12,thumbor/awesome-thumbor,thumbor/awesome-thumbor,,others,https://github.com/thumbor/awesome-thumbor,https://github.com/thumbor/awesome-thumbor,,CC-BY-SA-4.0,2022-01-23 23:37:02,2025-08-28 13:16:51,2025-08-27 20:23:00,1227,89.0,4.0,6.0,1319.0,2.0,,73.0,2022-01-23 23:40:03,2022.01.23,1.0,"Everything thumbor, awesomely curated & updated weekly.",5,13,True,1,,
13,best-of-digital-identity,jruizaranguren/best-of-digital-identity,,internet,https://github.com/jruizaranguren/best-of-digital-identity,https://github.com/jruizaranguren/best-of-digital-identity,,CC-BY-SA-4.0,2023-04-12 09:58:39,2025-08-28 18:23:18,2025-08-24 10:44:12,330,20.0,10.0,8.0,142.0,,1.0,145.0,2025-08-24 10:44:53,2025.08.21,58.0,A ranked list of awesome Digital Identity open source projects.,5,12,True,1,,
14,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/lukasmasuch/best-of-react,https://github.com/lukasmasuch/best-of-react,,CC-BY-SA-4.0,2021-02-21 12:52:27,2025-08-28 08:50:49,2025-08-28 08:50:49,375,2.0,114.0,18.0,187.0,2.0,2.0,989.0,2024-06-06 15:57:19,2024.06.06,100.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,9,11,True,2,,
15,best-of-ml-rust,e-tornike/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,,CC-BY-SA-4.0,2021-02-09 10:37:33,2025-08-03 16:28:52,2025-08-03 16:28:52,207,1.0,19.0,12.0,130.0,57.0,,417.0,2024-12-02 23:59:31,2024.12.01,31.0,A ranked list of awesome machine learning Rust libraries.,4,11,True,3,,
16,best-of-django,fkromer/best-of-django,['python'],web-dev,https://github.com/fkromer/best-of-django,https://github.com/fkromer/best-of-django,,CC-BY-SA-4.0,2022-10-04 19:22:03,2025-08-02 16:54:51,2025-08-02 16:54:49,386,6.0,12.0,3.0,86.0,,,108.0,,,,A ranked list of awesome Django related Python packages.,3,10,True,3,-1.0,
17,best-of-fastapi,fkromer/best-of-fastapi,['python'],web-dev,https://github.com/fkromer/best-of-fastapi,https://github.com/fkromer/best-of-fastapi,,CC-BY-SA-4.0,2022-11-27 14:22:10,2025-08-28 18:11:54,2025-08-23 21:51:06,161,10.0,1.0,3.0,139.0,1.0,,36.0,,,,List of automatically rated Python packages for FastAPI.,3,10,True,3,,
