,name,github_id,labels,category,homepage,contributor_count,github_url,license,created_at,updated_at,projectrank,fork_count,open_issue_count,star_count,description,show,projectrank_placing,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,57,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36.000,2024-10-03 18:53:57,14,2360.0,27.0,16330.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,False,1.0,-8.0
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,18,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07,11,257.0,7.0,3638.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,False,1.0,-7.0
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,17,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2025-10-09 17:36:28,11,192.0,3.0,2617.0,A ranked list of awesome python libraries for web development. Updated weekly.,True,1.0,
3,best-of-mkdocs,mkdocs/catalog,,documentation,https://github.com/mkdocs/catalog,63,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2026-03-12 19:01:50,11,116.0,26.0,1702.0,A list of awesome MkDocs projects and plugins.,True,1.0,
4,awesome-gpts,taranjeet/awesome-gpts,['python'],data-engineering,https://github.com/taranjeet/awesome-gpts,28,https://github.com/taranjeet/awesome-gpts,MIT,2023-11-10 15:58:26.000,2024-04-21 19:47:16,11,96.0,4.0,1354.0,Collection of all the GPTs created by the community.,False,2.0,
5,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,8,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24.000,2025-10-09 16:30:15,10,53.0,4.0,1186.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,True,1.0,
6,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,14,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48.000,2025-10-09 16:30:02,10,90.0,5.0,1138.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",True,2.0,
7,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,4,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46.000,2024-06-28 01:43:05,10,142.0,110.0,1134.0,A ranked gallery of awesome streamlit apps built by the community.,False,2.0,
8,best-of-scala,stkeky/best-of-scala,,programming-languages,https://github.com/stkeky/best-of-scala,18,https://github.com/stkeky/best-of-scala,CC-BY-SA-4.0,2023-03-13 21:28:43.000,2026-07-10 14:28:01,10,26.0,3.0,292.0,A ranked list of awesome Scala projects. Updated weekly.,True,3.0,
9,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/lukasmasuch/best-of-react,9,https://github.com/lukasmasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27.000,2024-08-13 23:55:13,9,99.0,2.0,891.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,False,2.0,
